name,date,author,risk_score,severity,tactic,technique,subtechnique
Suspicious File Added to Registry,2020/12/15,['Alejandro Guerrero'],75,high,Persistence,T1547 - Boot or Logon Autostart Execution,T1547.001 - Registry Run Keys / Startup Folder
Bat files observed in HTTP Traffic on Unusual Port ,2020/12/15,['Alejandro Guerrero'],69,medium,Execution,T1059 - Command and Scripting Interpreter,T1059.003 - Windows Command Shell
New Alert Example,2020/12/15,['Alejandro Guerrero'],68,medium,Execution,T1059 - Command and Scripting Interpreter,T1059.001 - PowerShell
PowerShell Execution via a BAT File,2020/12/15,['Alejandro Guerrero'],69,medium,Execution,T1059 - Command and Scripting Interpreter,T1059.001 - PowerShell
PowerShell Invoke-WebRequest Downloading .BAT File,2020/12/15,['Alejandro Guerrero'],50,medium,Execution,T1059 - Command and Scripting Interpreter,T1059.001 - PowerShell
Data Archive for Potential Exfil,2020/12/15,['Alejandro Guerrero'],51,medium,Collection,T1074 - Data Staged,T1074.001 - Local Data Staging
Potential MSF PowerShell Payload Observed,2020/12/15,['Alejandro Guerrero'],1,high,Execution,T1059 - Command and Scripting Interpreter,T1059.001 - PowerShell
Excessive Web Traffic,2020/12/15,['Alejandro Guerrero'],50,low,Discovery,T1046 - Network Service Discovery,none - none
Test Alert,2020/12/15,['Alejandro Guerrero'],69,medium,Execution,T1059 - Command and Scripting Interpreter,T1059.001 - PowerShell
Suspicious File Written to Temp Directory,2020/12/15,['Alejandro Guerrero'],75,high,Discovery; Discovery,T1082 - System Information Discovery; T1217 - Browser Information Discovery,none - none; none - none
Data Exfiltration Observed via FTP,2020/12/15,['Alejandro Guerrero'],75,high,Exfiltration,T1020 - Automated Exfiltration,none - none
Web Scanner Activity - Nmap and Nikto,2020/12/15,['Alejandro Guerrero'],25,low,Discovery,T1046 - Network Service Discovery,none - none
